Primary Type,Block,Location Description,Domestic,month,Period_1,Period_2
1,4532,87,0,7,0,0
2,17240,90,0,7,0,0
0,19653,90,0,7,0,0
0,15423,41,0,7,0,0
1,10675,17,1,7,0,0
2,18998,57,0,7,0,0
2,14633,90,0,7,0,1
2,511,90,0,7,1,0
0,1284,73,0,7,0,0
0,8604,17,1,7,0,0
2,14316,52,0,7,0,1
2,13493,70,0,7,0,1
1,3131,90,0,7,1,0
2,2702,79,0,7,0,0
2,15376,77,0,7,0,0
1,3192,90,0,7,1,0
2,20310,90,0,7,0,1
2,5242,90,0,7,0,1
2,9286,77,0,7,0,1
2,5927,90,0,7,0,0
2,2045,90,0,7,0,1
2,722,77,0,7,0,0
2,19042,90,0,7,1,0
1,10863,41,0,7,1,0
0,3192,90,0,7,1,0
2,1935,32,0,7,0,0
2,13702,90,0,7,0,0
2,11188,69,0,7,1,0
0,19021,17,0,7,1,0
2,19089,90,0,7,0,1
1,7602,80,1,7,1,0
2,18196,90,0,7,1,0
2,1393,38,0,7,1,0
0,22407,77,0,7,0,1
2,17032,90,0,7,0,0
1,11710,77,1,7,1,0
2,143,62,0,7,0,0
2,16325,90,0,7,1,0
2,17205,86,0,7,1,0
2,15335,77,0,7,1,0
2,21957,73,0,7,1,0
2,6761,50,0,7,1,0
2,12097,32,0,7,1,0
1,682,90,0,7,1,0
2,12874,80,0,7,0,1
1,12755,72,0,7,1,0
0,17992,17,1,7,1,0
2,14012,73,0,7,0,1
2,564,90,0,7,0,0
1,5852,96,0,7,1,0
1,111,57,0,7,0,1
0,7192,90,0,7,1,0
2,8325,52,0,7,1,0
2,4269,96,0,7,0,0
1,22079,77,1,7,1,0
2,16136,90,0,7,0,0
1,16548,17,1,7,0,1
1,3192,87,0,7,1,0
2,12660,77,0,7,1,0
0,351,81,0,7,1,0
0,14061,87,0,7,1,0
1,8882,87,0,7,1,0
2,17202,80,0,7,0,0
0,16427,17,0,7,1,0
2,16250,90,0,7,0,1
2,22493,15,0,7,1,0
2,1327,81,0,7,1,0
1,3772,77,0,7,1,0
2,16052,41,0,7,0,1
1,4921,77,1,7,1,0
0,8559,77,1,7,1,0
0,19812,41,0,7,1,0
1,18360,17,0,7,1,0
1,4196,77,1,7,1,0
2,1041,59,0,7,0,1
2,5717,52,0,7,0,1
1,21422,77,1,7,1,0
0,12807,77,0,7,1,0
0,23042,39,0,7,0,1
1,9727,86,0,7,0,1
2,14576,90,0,7,0,0
2,5722,78,0,7,0,1
2,11431,80,0,7,1,0
2,198,81,0,7,1,0
2,134,69,0,7,0,1
1,16451,72,0,7,0,1
2,19501,88,0,7,0,1
1,2498,90,1,7,1,0
1,13487,90,1,7,1,0
1,7999,81,0,7,1,0
1,1546,90,0,7,0,0
2,650,90,0,7,1,0
2,13689,79,0,7,0,1
1,13978,50,1,7,0,1
2,4171,15,0,7,0,1
1,20241,90,1,7,0,1
1,6231,87,0,7,0,1
1,7933,77,0,7,0,0
2,1759,81,0,7,0,1
2,4151,15,0,7,1,0
1,1428,15,0,7,1,0
2,721,96,0,7,0,1
0,309,80,0,7,0,1
1,17910,90,0,7,0,1
2,20534,50,0,7,1,0
1,18193,77,1,7,1,0
2,21012,17,0,7,0,1
2,8987,17,0,7,0,1
2,899,87,0,7,0,0
2,13978,59,0,7,0,1
2,18406,77,0,7,0,1
2,595,69,0,7,0,1
2,19844,80,0,7,1,0
2,22777,90,0,7,0,1
2,13990,50,0,7,0,1
2,646,17,0,7,1,0
2,3457,77,0,7,0,0
0,4322,41,0,7,0,1
2,436,73,0,7,1,0
1,3645,77,1,7,1,0
2,10692,88,0,7,0,1
2,9278,90,0,7,0,1
2,6706,90,0,7,0,1
2,20534,50,0,7,0,1
1,15208,77,1,7,0,1
2,6920,88,0,7,0,1
1,20884,72,0,7,0,1
1,2879,77,1,7,0,1
1,3952,90,0,7,0,1
2,3685,50,0,7,0,1
0,10451,90,0,7,0,1
1,9617,87,0,7,0,1
1,2015,81,0,7,1,0
2,5291,87,0,7,1,0
0,6897,58,0,7,1,0
1,19471,90,1,7,0,1
0,1400,90,1,7,0,1
2,3994,50,0,7,1,0
2,2348,50,0,7,0,1
2,8725,88,0,7,0,1
2,5911,41,0,7,0,1
1,16272,17,1,7,0,1
1,5056,77,1,7,0,1
2,18125,90,0,7,0,0
1,12617,87,0,7,0,1
2,800,22,0,7,0,1
2,8700,90,0,7,1,0
2,2331,90,0,7,1,0
2,17893,90,0,7,1,0
2,12351,90,0,7,0,1
1,1611,17,1,7,0,1
2,696,88,0,7,0,1
2,20234,77,0,7,0,1
2,6914,90,0,7,0,1
2,18022,79,0,7,0,0
2,14493,90,0,7,0,1
2,985,47,0,7,0,1
0,6855,90,0,7,0,1
1,12355,31,0,7,0,1
1,12191,90,0,7,0,1
1,19003,77,0,7,0,1
2,107,81,0,7,0,1
2,696,88,0,7,0,1
1,3966,80,1,7,1,0
1,4252,77,1,7,0,1
1,17368,77,1,7,0,1
1,8775,87,0,7,0,1
1,21765,72,0,7,0,1
2,22005,90,0,7,0,1
2,10475,90,0,7,0,1
2,2437,90,0,7,0,1
0,6216,69,0,7,0,1
2,19395,17,0,7,0,1
2,19767,87,0,7,0,1
1,755,81,0,7,0,1
0,19966,17,0,7,0,1
2,6843,69,0,7,0,1
2,11277,81,0,7,0,1
2,682,88,0,7,0,1
1,20858,87,0,7,0,1
2,8323,73,0,7,1,0
1,5412,17,1,7,0,1
0,14695,77,0,7,0,1
2,14103,90,0,7,1,0
2,678,90,0,7,0,1
2,6220,59,0,7,0,1
0,10916,17,1,7,0,1
1,15494,17,1,7,0,1
2,5685,77,0,7,0,1
1,20363,17,0,7,0,1
2,13416,77,0,7,0,1
1,11438,90,0,7,0,0
2,14050,77,0,7,0,0
2,264,72,0,7,1,0
2,15313,90,0,7,0,0
2,10875,88,0,7,0,1
2,13969,50,0,7,0,1
1,15811,77,1,7,0,1
2,3199,88,0,7,0,1
0,17592,77,0,7,0,1
1,15786,77,1,7,0,1
0,14235,90,0,7,0,1
1,20072,17,1,7,0,1
1,4008,90,1,7,0,1
1,11959,78,0,7,0,1
1,18193,77,1,7,0,1
2,209,88,0,7,0,1
2,5852,88,0,7,0,1
1,7645,87,1,7,0,1
1,1088,31,0,7,0,1
0,20905,90,0,7,0,1
0,21345,77,1,7,0,0
0,9004,77,0,7,0,1
1,8905,17,1,7,0,1
1,22029,90,0,7,0,1
0,8660,87,0,7,0,1
2,4115,81,0,7,0,0
1,9829,17,1,7,0,1
2,17609,78,0,7,0,1
0,11899,87,0,7,0,1
1,10608,88,0,7,0,1
2,7408,88,0,7,0,0
1,8634,17,1,7,0,1
0,15473,87,0,7,0,1
2,4965,39,0,7,0,1
2,18228,72,0,7,0,1
2,1152,58,0,7,0,1
1,2500,69,0,7,0,1
2,7431,88,0,7,0,1
2,6612,72,0,7,0,0
2,14064,87,0,7,0,1
1,20259,17,1,7,0,1
1,3805,87,1,7,0,0
1,136,87,0,7,0,1
1,13123,96,1,7,0,0
1,3479,87,0,7,0,0
0,13589,87,0,7,0,0
1,13491,77,1,7,0,0
1,3792,89,0,7,0,0
2,5569,77,0,7,1,0
2,19631,50,0,7,0,0
1,20985,77,1,7,0,0
0,291,77,1,7,0,1
1,952,17,1,7,0,1
2,4225,90,0,7,0,0
0,3234,61,0,7,0,0
2,16041,69,0,7,0,1
1,4998,90,0,7,0,1
2,5032,72,0,7,0,0
2,3923,90,0,7,0,1
2,11697,59,0,7,0,0
2,21568,80,0,7,0,1
0,18776,77,0,7,0,0
1,4583,17,1,7,0,0
1,18646,17,1,7,0,1
2,15074,90,0,7,0,0
1,10892,87,0,7,0,0
0,4660,17,1,7,0,1
1,18341,77,1,7,0,0
1,13150,72,0,7,0,1
1,5382,90,0,7,0,0
1,18140,77,1,7,0,0
1,3038,44,0,7,0,0
0,11989,57,0,7,0,0
1,12431,87,0,7,0,0
1,16473,17,1,7,0,0
2,6854,90,0,7,0,1
2,437,81,0,7,0,0
2,23012,31,0,7,0,0
2,281,90,0,7,0,0
2,6873,90,0,7,0,0
2,2745,62,0,7,0,1
0,19064,90,0,7,0,0
1,11584,90,0,7,0,0
2,14281,90,0,7,0,1
2,12310,90,0,7,0,0
1,5174,87,0,7,0,0
0,11584,51,0,7,1,0
1,12814,77,1,7,0,1
2,14140,57,0,7,0,1
2,1251,81,0,7,0,1
2,10970,88,0,7,1,0
2,14068,73,0,7,1,0
1,16845,17,0,7,0,0
1,4782,87,0,7,0,0
1,8931,90,1,7,0,0
1,20805,17,1,7,0,0
0,2313,73,1,7,0,0
1,18536,90,1,7,0,1
1,1919,17,1,7,0,1
2,2500,90,0,7,0,1
1,19653,87,0,7,0,0
2,17878,77,1,7,0,0
2,20914,96,0,7,0,1
1,7783,90,0,7,0,0
1,18249,77,1,7,0,0
1,15353,17,1,7,0,0
1,15802,17,1,7,0,0
2,14390,90,0,7,0,0
1,13379,73,0,7,0,0
1,12616,17,1,7,0,0
1,14715,77,0,7,1,0
2,4225,90,0,7,0,1
2,8342,90,0,7,0,1
2,1972,17,0,7,0,0
2,18788,90,0,7,0,1
2,20474,90,0,7,0,0
2,1844,17,0,7,0,1
2,8867,90,0,7,0,1
2,6045,38,0,7,0,1
2,2036,90,1,7,0,0
2,11185,90,0,7,0,1
2,11438,38,0,7,0,1
2,20527,77,1,7,0,1
2,9648,90,0,7,1,0
2,17354,81,0,7,1,0
2,16526,90,0,7,0,1
2,15893,73,0,7,0,1
2,8334,73,0,7,0,1
2,17546,51,0,7,0,1
1,8490,77,1,7,0,0
0,2817,80,0,7,0,1
2,4983,32,0,7,0,1
1,9719,53,0,7,1,0
2,17534,51,0,7,0,1
2,2209,90,0,7,0,0
2,6706,90,0,7,0,0
2,542,87,0,7,0,1
2,20001,17,1,7,0,0
0,20025,87,0,7,1,0
2,22176,80,0,7,0,0
2,6843,69,0,7,0,0
2,2015,62,0,7,0,1
2,15575,87,0,7,1,0
2,19653,87,0,7,0,1
2,12865,77,0,7,0,0
2,3038,47,0,7,0,0
2,3179,80,0,7,0,0
2,7516,17,0,7,0,1
2,19205,90,0,7,0,1
0,17816,90,0,7,0,1
2,13722,73,0,7,0,0
2,20928,69,0,7,0,1
2,10162,90,0,7,0,1
0,1038,85,0,7,0,1
2,17820,96,0,7,0,0
1,4129,17,1,7,0,1
2,7564,90,0,7,0,0
2,5024,69,0,7,0,0
0,13827,77,1,7,0,1
1,6333,69,0,7,1,0
1,12462,17,1,7,0,1
2,4151,81,0,7,0,1
1,10559,87,0,7,0,1
1,13488,77,1,7,1,0
2,14747,79,0,7,0,1
2,2348,50,0,7,0,1
