Primary Type,Block,Location Description,Domestic,month,day,Period_1,Period_2
3,9356,115,0,7,26,0,1
3,16277,123,0,7,26,0,0
3,6985,115,0,7,27,0,0
3,4639,88,0,7,27,0,0
1,14388,93,0,7,27,0,0
1,10724,115,0,7,27,0,1
1,15641,115,0,7,27,0,1
3,3835,104,0,7,27,0,1
3,13559,102,0,7,26,0,1
3,2162,55,0,7,27,0,1
3,18719,115,0,7,27,0,0
3,1801,115,0,7,27,0,1
1,10837,115,0,7,27,0,1
1,2766,103,0,7,27,0,0
3,10015,93,0,7,27,0,0
3,2844,19,0,7,27,0,1
3,16496,123,0,7,26,0,1
3,18781,113,0,7,26,0,1
3,6541,104,0,7,27,1,0
3,1374,104,0,7,27,1,0
3,12946,93,0,7,26,1,0
3,7776,115,0,7,27,1,0
3,6836,115,0,7,26,0,1
3,8054,103,0,7,27,1,0
3,1351,49,0,7,26,0,0
3,904,112,0,7,26,0,1
3,1723,101,0,7,26,1,0
3,823,104,0,7,27,1,0
3,383,41,0,7,26,0,1
3,129,19,0,7,26,0,1
3,528,115,0,7,26,0,1
3,14783,17,0,7,27,0,1
3,7470,115,0,7,27,0,1
3,16447,17,0,7,26,1,0
3,3079,102,0,7,26,0,0
3,19394,115,0,7,27,0,1
3,3330,93,0,7,27,1,0
3,14653,100,0,7,27,0,1
3,2838,93,0,7,27,0,1
3,12604,101,0,7,26,0,1
3,10094,115,0,7,27,0,0
3,14618,91,0,7,26,0,1
1,7046,115,0,7,26,0,0
3,1482,115,0,7,27,0,0
1,2195,93,0,7,27,1,0
3,7476,115,0,7,27,0,0
1,1219,115,0,7,26,1,0
3,3901,118,0,7,27,0,0
3,3672,104,0,7,27,0,1
3,125,112,0,7,26,0,1
3,10059,103,0,7,27,1,0
1,11064,115,0,7,27,0,0
1,14211,115,0,7,26,0,1
3,9354,58,0,7,26,0,0
3,20300,55,0,7,26,1,0
3,10764,41,0,7,26,0,1
3,13884,17,0,7,26,1,0
3,13882,100,0,7,26,1,0
3,4095,112,0,7,27,0,0
3,19578,91,0,7,27,1,0
3,4644,118,0,7,27,0,1
3,2844,19,0,7,27,0,1
3,2418,88,0,7,27,1,0
3,13845,17,0,7,27,1,0
3,12964,115,0,7,26,0,1
1,9450,67,0,7,26,0,0
1,14960,115,0,7,27,1,0
3,17934,67,0,7,27,1,0
3,5752,17,0,7,27,1,0
3,18307,115,0,7,27,1,0
3,17568,100,1,7,27,0,0
3,7202,74,0,6,8,1,0
3,1665,100,0,7,1,0,0
3,17635,115,0,6,20,0,1
3,19881,100,0,6,7,1,0
2,13811,100,0,1,21,0,1
1,4026,100,0,6,2,0,1
1,16593,88,0,6,10,1,0
1,18692,103,0,6,20,1,0
3,2966,103,0,6,28,1,0
3,17352,123,0,7,20,0,0
3,18257,104,0,7,26,0,1
3,16139,110,0,7,26,0,1
3,1056,115,0,7,24,1,0
3,4195,100,0,7,2,1,0
3,4574,91,0,8,13,0,1
3,5143,101,0,6,8,0,1
3,15334,17,0,6,12,0,1
3,11693,100,0,7,15,0,1
3,14899,100,1,2,15,0,1
3,13053,55,0,6,16,0,1
3,10732,55,0,6,25,1,0
3,18911,88,0,5,20,0,1
3,6723,88,0,5,19,0,0
3,10836,100,0,7,4,0,0
3,10429,15,0,6,28,0,0
3,1937,88,0,6,1,0,1
3,10226,55,0,6,25,1,0
3,495,103,0,6,10,0,1
1,18053,120,0,6,30,0,1
3,3614,88,0,7,1,1,0
3,5276,17,0,6,29,0,1
3,9160,17,0,6,4,0,1
3,18746,17,0,6,12,1,0
1,10517,123,0,7,22,0,1
3,19857,93,0,7,26,0,0
3,18076,100,0,7,27,0,0
3,594,43,0,8,13,0,1
0,563,115,0,7,26,1,0
0,19021,115,0,7,27,0,0
0,6509,21,0,7,27,0,1
3,19566,110,0,1,7,0,1
2,5038,112,0,1,9,0,1
3,9639,100,0,7,18,0,0
3,6527,100,0,7,18,0,0
3,6890,123,1,7,25,1,0
1,16907,115,0,7,26,0,0
3,14942,100,0,7,27,1,0
3,18608,123,0,7,26,0,0
1,1924,115,0,7,27,1,0
3,9060,88,0,7,24,1,0
3,2932,115,0,7,21,1,0
3,18521,93,0,7,24,0,0
3,7421,123,0,7,25,0,1
3,11996,88,0,7,20,0,1
1,16457,103,0,7,27,1,0
3,14040,103,0,7,26,0,1
3,2663,88,0,7,20,1,0
3,18962,115,0,7,12,1,0
3,9009,17,0,7,14,0,1
3,14310,100,0,7,26,0,1
3,5602,100,0,7,12,1,0
3,19755,83,0,7,27,0,1
3,4503,103,0,7,24,0,0
3,5823,115,0,7,23,1,0
3,6391,91,0,7,24,1,0
3,4623,123,0,7,22,0,1
3,16896,112,1,7,25,0,1
3,1936,115,0,7,27,0,0
3,14817,57,0,7,27,0,1
3,3224,115,0,7,25,0,0
3,13938,113,0,7,27,0,1
3,14056,100,0,7,11,1,0
3,18672,113,0,7,27,1,0
3,20899,88,0,7,9,0,1
3,16106,17,0,7,26,0,1
3,11369,115,0,7,26,1,0
3,8913,88,0,7,27,0,0
3,853,112,0,7,27,1,0
3,18560,115,0,7,24,0,1
3,8311,55,0,7,21,0,1
3,3550,110,0,7,19,1,0
3,17179,17,0,7,25,0,1
3,958,123,0,7,24,0,1
3,5722,115,0,7,16,0,0
3,3540,55,0,7,21,0,1
3,2718,100,0,7,26,1,0
3,11149,100,0,7,24,0,0
3,9602,23,0,7,23,0,0
3,10179,15,0,7,26,0,0
3,14826,115,0,7,20,0,0
3,6723,101,0,7,20,0,0
3,8179,100,0,7,12,1,0
3,7906,113,0,7,26,0,1
3,2039,104,0,7,5,1,0
3,8539,55,0,7,19,0,1
2,17135,112,0,1,6,0,1
3,13707,115,0,8,13,0,1
3,20207,100,1,8,13,0,1
3,14336,115,0,8,13,0,0
3,16957,23,0,7,28,0,0
3,10020,17,0,7,28,0,0
3,11222,17,0,7,28,0,0
3,2079,115,0,7,28,0,0
1,19053,115,0,7,28,0,0
2,1719,80,0,7,28,0,0
3,4301,115,0,7,28,0,0
3,15668,101,0,7,27,1,0
3,6386,113,0,7,28,0,0
2,11600,112,0,8,13,0,1
1,18812,120,0,7,28,0,0
3,18412,115,0,7,28,0,0
3,3338,123,0,7,28,0,0
3,4603,115,0,7,28,0,0
3,15152,115,0,7,28,1,0
1,11805,103,0,7,28,0,0
1,16403,57,0,7,28,0,0
3,12975,103,0,7,28,1,0
3,2521,93,0,7,28,1,0
3,512,124,0,7,28,1,0
3,8178,103,0,7,28,1,0
3,6043,88,0,7,28,1,0
2,12833,100,0,7,28,1,0
2,12976,112,0,7,28,1,0
3,700,115,0,7,28,1,0
2,124,112,0,7,28,1,0
3,16440,93,0,7,28,1,0
2,11240,112,0,7,28,1,0
2,249,112,0,7,28,1,0
