Primary Type,Location Description,Domestic,Latitude,Longitude,month,day,Period_1,Period_2
2,105,0,41.901541103,-87.72017600299999,7,28,1,0
2,98,0,42.009866363,-87.674165345,7,28,1,0
2,98,0,41.902792639,-87.63288425100001,7,28,0,1
2,12,0,41.702659919,-87.618519452,7,28,1,0
2,101,0,41.95059695,-87.78645745600001,7,28,0,1
2,98,0,41.752314797,-87.603991283,7,28,0,1
2,13,0,41.865456866,-87.704418782,7,28,0,1
2,13,0,41.865456866,-87.704418782,7,28,0,1
2,101,0,41.894083695999996,-87.71993146700001,7,28,0,1
2,98,0,41.867096466,-87.72400037799999,7,28,0,1
2,57,0,41.893985382,-87.759302131,7,28,0,1
2,0,0,41.886813745,-87.727081557,7,28,0,1
2,12,0,41.894295363000005,-87.72360602200001,7,28,0,1
2,82,0,41.831055043,-87.62213801700001,7,28,0,1
2,98,0,41.893848139,-87.759296014,7,28,0,1
2,101,0,41.893649131,-87.714125144,7,28,0,1
1,101,0,41.760644349,-87.70889963100001,7,28,0,1
2,98,0,41.880717301,-87.72628358,7,28,0,1
2,98,0,41.890906417,-87.72106368,7,28,0,1
2,98,0,41.880062314,-87.753540389,7,28,0,1
1,101,0,41.886371773,-87.70963056299999,7,28,0,1
2,0,0,41.871497172,-87.71557998899999,7,28,0,1
2,12,0,41.901486892,-87.71773743700001,7,28,0,1
2,98,0,41.880660786,-87.731186405,7,28,0,1
2,101,0,41.881776037,-87.748387499,7,28,0,1
2,101,0,41.803722201,-87.72591425799999,7,28,0,1
2,101,0,41.707225212,-87.619640796,7,28,0,0
2,101,0,41.908379638,-87.736300631,7,28,0,0
2,101,0,41.73598101,-87.650025719,7,28,0,0
1,101,0,41.824902067,-87.609346517,7,28,0,1
2,98,0,41.880908718,-87.71179150100001,7,28,0,0
2,101,0,41.880882072,-87.745292693,7,28,0,0
2,101,0,41.810209459,-87.621235204,7,28,0,0
2,98,0,41.872746315,-87.70907644299999,7,28,0,0
1,101,0,41.862914601,-87.709755793,7,28,1,0
1,101,0,41.90863493,-87.744821309,7,28,1,0
2,101,0,41.931772916999996,-87.72819217799999,7,28,0,0
1,87,0,41.674720656999995,-87.620413624,7,28,0,1
1,101,0,41.857083218,-87.721522225,7,28,1,0
1,101,0,41.796882513,-87.693885964,7,28,0,1
1,101,0,41.903394852,-87.66344422600001,7,28,0,0
1,101,0,41.797251993,-87.661026435,7,28,0,1
1,101,0,41.963008684,-87.654760481,7,28,0,1
1,101,0,41.996345006999995,-87.698375075,7,28,1,0
1,101,0,41.750719874,-87.723002347,7,28,0,0
1,101,0,41.922890251999995,-87.77203265600001,7,28,0,1
1,82,0,41.88545935,-87.65983436399999,7,28,0,1
1,101,0,41.770660803,-87.5739766,7,28,1,0
1,101,0,41.952543791,-87.70920275299999,7,28,1,0
1,101,0,41.779012821,-87.664208692,7,28,0,1
1,90,0,41.75187331,-87.72471020100001,7,28,0,0
1,101,0,41.757014266999995,-87.55563995899999,7,28,0,0
1,101,0,41.717371344,-87.632183551,7,28,0,1
1,90,0,41.786449964,-87.771827331,7,28,0,1
1,82,0,41.96904288,-87.658432472,7,28,0,0
1,101,0,41.705474140999996,-87.53770541,7,28,1,0
1,101,0,41.916874699,-87.68353340899999,7,28,0,0
1,101,0,41.891058284,-87.768917826,7,28,0,0
1,101,0,41.895897095,-87.735965125,7,28,0,1
1,101,0,41.891051706999995,-87.63405559,7,28,0,0
1,101,0,41.932823973000005,-87.69278351700001,7,28,0,0
1,101,0,41.755777843000004,-87.666740711,7,28,0,0
1,90,0,41.717412323000005,-87.628564249,7,28,1,0
1,101,0,41.965999268000004,-87.67972512600001,7,28,1,0
1,82,0,41.940076135,-87.64247379700001,7,28,1,0
1,101,0,41.679413382,-87.64195969299999,7,28,0,1
1,77,0,,,6,28,0,1
0,101,0,41.802478524,-87.64642222,7,28,0,0
0,101,0,41.802478524,-87.64642222,7,28,0,0
0,101,0,41.875250594,-87.72677226100001,7,28,0,1
0,101,0,41.749604999,-87.55406931600001,7,28,0,0
2,101,0,41.989378735,-87.66996272,7,29,0,0
1,57,0,41.706857405,-87.64941498,7,29,0,0
1,101,0,41.847455203,-87.719764175,7,29,0,0
2,101,0,41.963699435,-87.699761941,7,29,0,0
1,101,0,41.752037507,-87.709781978,7,29,0,0
2,101,0,41.970279379000004,-87.707646995,7,29,0,0
1,101,0,41.837963548000005,-87.617470765,7,29,0,0
2,49,0,41.880108035,-87.647309981,7,29,1,0
2,98,0,41.874215281,-87.73658564600001,7,29,1,0
2,80,0,41.875452995,-87.62059218600001,7,29,1,0
2,101,0,41.778550167,-87.698251356,7,29,0,1
2,57,0,41.692364149,-87.605987023,7,29,0,1
2,83,0,41.692833841,-87.60431945,7,29,0,1
2,80,0,41.875452995,-87.62059218600001,7,29,0,1
2,98,0,41.88005957,-87.753540414,7,29,0,1
2,98,0,41.690780388,-87.622165831,7,29,0,1
2,80,0,41.873970977,-87.620571935,7,29,0,1
2,101,0,41.960643276999996,-87.75341344899999,7,29,0,1
1,101,0,41.904895625,-87.62631507299999,7,29,0,1
1,101,0,41.907680799,-87.756347051,7,29,0,1
2,98,0,41.880660786,-87.731186405,7,29,0,1
2,98,0,41.901885191,-87.72140328100001,7,29,0,0
2,101,0,41.906605133,-87.69368121299999,7,29,0,0
2,12,0,41.794156899,-87.72563786200001,7,29,0,0
2,98,0,41.909524388,-87.75406005100001,7,29,0,0
1,82,0,41.890703830999996,-87.70640419,7,29,0,1
2,57,0,41.902285413,-87.75249451100001,7,29,0,0
1,101,0,41.778785401,-87.68484868600001,7,29,0,1
1,101,0,41.87853462,-87.687366307,7,29,0,0
2,12,0,41.707844277,-87.650155286,7,29,0,0
2,101,0,41.928430384,-87.701683894,7,29,0,0
2,101,0,41.96049984,-87.765897181,7,29,0,0
2,101,0,41.761555083000005,-87.64494922600001,7,29,0,0
1,101,0,41.949565738000004,-87.80594584200001,7,29,0,1
1,101,0,41.728910285,-87.597368771,7,29,0,0
1,101,0,41.654622444,-87.613148479,7,29,0,1
1,101,0,41.877814172,-87.655684548,7,29,0,0
1,101,0,41.81255052,-87.59689261700001,7,29,0,1
1,101,0,41.735763677,-87.602661737,7,29,0,0
1,101,0,42.000301041,-87.702158224,7,29,0,0
1,82,0,41.909900172,-87.765563011,7,29,0,0
1,101,0,41.870251845,-87.746025306,7,29,0,0
1,101,0,41.78221499,-87.68617073600001,7,29,0,0
1,90,0,41.766079155999996,-87.669922114,7,29,1,0
1,101,0,41.945238279,-87.712670479,7,29,0,1
1,101,0,41.957038359,-87.708111095,7,29,0,1
1,98,0,41.935335193,-87.655079642,7,29,0,1
1,101,0,42.003504901999996,-87.70341059299999,7,29,0,1
1,101,0,41.763647895,-87.627581996,7,29,0,1
1,87,0,41.873903296,-87.758270185,7,29,1,0
1,101,0,41.787721002,-87.649850578,7,29,0,1
1,82,0,41.844148868000005,-87.680530044,7,29,0,0
1,101,0,41.887890901999995,-87.619870013,7,29,0,0
1,101,0,,,7,29,0,1
0,85,0,41.775528244,-87.64710947799999,7,29,0,0
0,85,0,41.917507877,-87.749824943,7,29,0,1
0,101,0,41.745786464,-87.60578012399999,7,29,0,1
0,101,0,41.75001705,-87.68439071600001,7,29,0,1
0,101,0,41.75359293,-87.658671286,7,29,0,1
2,98,0,,,1,6,1,0
2,82,0,,,1,5,0,1
2,98,0,,,1,22,1,0
2,107,0,,,1,24,0,1
2,98,0,,,1,23,1,0
2,87,0,,,1,22,0,1
2,107,0,,,1,22,0,1
2,87,0,,,1,22,1,0
2,77,0,,,1,22,0,1
2,98,0,,,1,23,0,1
2,98,0,,,1,23,0,1
2,105,0,,,1,24,0,1
2,107,0,,,1,24,0,1
2,98,0,,,1,28,1,0
2,98,0,,,1,28,1,0
2,107,0,,,1,28,0,1
2,82,0,,,1,27,1,0
2,101,0,,,1,28,1,0
2,101,0,,,1,28,1,0
2,107,0,,,1,1,0,1
2,88,0,,,1,1,0,1
2,101,0,,,1,28,1,0
2,98,0,,,1,28,1,0
2,88,0,,,1,28,1,0
2,12,0,,,1,22,0,1
