Primary Type,Location Description,Domestic,Latitude,Longitude,month,day,Period_1,Period_2
3,17,1,41.854344145,-87.719922244,7,26,0,1
3,100,0,41.767922363000004,-87.671182448,7,26,0,1
1,115,0,41.755151016999996,-87.710558134,7,26,0,1
3,113,0,41.931559586999995,-87.744695152,7,26,0,1
3,88,0,41.854042505,-87.634458871,7,26,0,1
3,101,0,41.826159952,-87.62313513,7,26,0,1
3,101,0,41.819622584,-87.69702392,7,26,0,1
1,115,0,41.940880439000004,-87.669495295,7,26,0,1
2,88,0,41.925092185,-87.687650179,7,26,0,1
2,112,0,41.984551029,-87.669847325,7,26,0,0
3,113,0,41.793121443000004,-87.732255805,7,26,0,0
2,46,0,41.704700641,-87.620558604,7,26,0,0
2,115,0,41.880301232,-87.76068415399999,7,26,0,0
3,113,0,41.89804054,-87.62409132299999,7,26,1,0
1,115,0,41.774716082,-87.69571926200001,7,26,0,1
3,115,0,41.884869667,-87.679840251,7,26,0,1
3,17,0,41.754635641,-87.55088962,7,26,0,0
3,115,0,41.76384188,-87.690563342,7,26,0,1
3,104,0,41.891133566,-87.624134682,7,26,0,1
1,91,0,41.758174759,-87.54993401600001,7,26,1,0
1,115,0,41.805001116999996,-87.740639415,7,26,0,0
2,115,0,41.729509264,-87.65315332899999,7,26,0,0
1,115,0,41.750523732,-87.622979997,7,26,0,1
2,115,0,41.791609911,-87.653593645,7,26,0,0
3,118,0,41.906027246,-87.642712439,7,26,0,0
1,115,0,41.744740666,-87.607481201,7,26,0,1
3,115,0,41.993552169000004,-87.808831085,7,26,0,0
3,100,1,41.89082387,-87.75055633,7,26,0,0
2,115,0,41.779838458,-87.63916618299999,7,26,0,0
2,15,0,41.781891437,-87.70200219799999,7,27,0,0
3,17,0,41.955820212,-87.77809301299999,7,26,1,0
3,17,0,41.88100737,-87.70320506799999,7,26,0,0
3,114,0,41.881348623,-87.674525788,7,26,0,1
2,101,0,41.791889876,-87.653601688,7,26,0,0
3,123,0,41.938924589,-87.739801531,7,27,0,0
3,76,0,41.891199446,-87.624137626,7,26,0,1
3,115,0,41.939353805,-87.649248165,7,26,0,1
