Primary Type,Block,Domestic
2,629,False
1,14080,False
0,15071,False
1,11101,False
2,682,False
1,2733,False
1,7327,False
2,6449,False
2,4585,False
2,7689,False
1,21591,True
0,8618,False
1,21695,False
2,1409,False
2,163,False
2,615,False
2,3994,False
2,20534,False
2,19817,True
0,19550,False
1,11689,False
2,1675,False
2,4630,False
2,8704,False
2,8641,False
1,12073,True
0,18302,False
1,18657,False
2,8745,False
2,6911,False
1,6406,True
2,13123,False
1,19963,True
2,20582,False
2,19997,False
1,3148,True
0,20885,True
2,1641,False
1,10387,False
2,17987,False
0,1027,False
0,14106,False
1,3792,False
2,6854,False
1,16544,True
1,14730,True
2,20534,False
2,7538,False
2,16803,False
2,13379,False
2,20951,False
1,1111,True
1,14337,True
2,12771,True
2,2348,False
2,247,False
2,7620,False
2,13826,False
1,16335,True
2,8049,False
1,2054,False
1,20958,True
1,2071,False
0,4978,True
1,10379,True
1,2076,False
2,629,False
2,629,False
0,5670,False
2,1264,False
2,209,False
1,8174,False
2,9244,False
2,16553,False
1,11422,True
1,3961,True
1,5802,True
2,141,False
0,4418,False
1,7124,False
1,12058,False
1,541,False
1,7661,False
1,9434,True
1,16360,False
1,8948,True
1,20906,False
2,789,False
1,13254,True
2,15238,False
2,1423,False
1,451,True
0,2894,False
1,22203,False
0,18650,True
1,15196,False
1,19144,True
0,22460,False
1,22618,True
2,4024,False
2,1032,False
0,20003,False
2,2671,False
2,4800,False
2,15219,True
1,1759,False
1,5816,False
0,1333,False
1,19571,True
0,2530,False
2,4800,False
1,9096,False
2,17842,True
2,930,False
2,5626,False
2,13129,False
2,1264,False
2,1734,False
2,8084,False
1,23012,True
1,14568,False
1,10491,True
1,22799,True
0,4108,False
2,1272,False
0,19749,False
2,3994,False
1,21147,False
1,19528,False
1,9119,False
2,11673,False
0,7124,True
1,21202,True
1,7163,True
2,12611,False
2,975,False
2,16921,False
1,17981,True
2,17842,True
0,19891,False
2,1264,False
1,945,True
1,3837,True
2,1264,False
1,19463,False
0,1264,True
1,8315,False
2,7531,False
2,16432,False
2,1281,False
2,5901,False
1,19590,True
2,345,False
2,1264,False
1,21665,False
1,21370,True
1,8022,False
2,7597,False
2,3851,False
1,5802,True
2,19185,False
1,17206,True
2,3334,False
2,3218,False
2,1968,False
1,4457,False
2,9721,False
2,11102,False
2,20423,False
2,20960,False
2,12799,False
2,3064,False
2,21795,False
1,9050,True
2,9072,False
2,7754,False
0,4157,False
2,10141,False
2,8966,False
2,15093,False
2,16771,False
2,13818,False
2,834,False
2,682,False
1,13093,False
2,1827,False
1,16065,False
2,525,False
2,1296,False
1,18393,False
2,8086,False
2,1264,False
0,17403,False
2,3087,False
2,1639,False
2,14062,False
0,9846,False
1,1264,False
0,13610,False
0,3311,False
2,12292,False
1,13697,True
2,14185,False
2,1264,False
2,10165,False
2,11217,False
2,2671,False
2,1264,False
2,682,False
1,451,False
2,9375,False
1,23064,True
2,13894,False
0,722,True
2,1264,False
1,18981,True
2,15799,False
1,8203,False
2,8331,False
2,11318,False
2,19206,False
2,5864,False
2,19164,False
1,95,False
2,9799,False
2,1765,False
2,899,False
2,8962,False
2,6653,False
2,448,False
2,3176,False
2,9529,False
2,16760,False
2,8958,False
2,9631,False
2,682,False
2,2406,False
2,1296,False
2,19154,False
2,449,False
1,26,True
2,20291,False
2,20674,False
2,18535,False
2,14749,False
0,20232,False
2,21224,False
2,21192,False
2,10704,False
2,1752,False
2,16152,False
2,5795,False
2,3302,False
2,7916,False
1,2313,False
2,1012,False
2,17010,False
0,6378,False
2,21930,False
2,602,False
2,1264,False
2,16063,False
2,5944,False
2,1395,False
2,16553,False
2,8627,False
0,11334,True
2,1264,False
2,1296,False
1,4802,True
2,18386,False
2,13819,False
2,7741,False
2,3326,False
2,999,False
2,20063,False
2,1707,False
2,1041,False
1,7782,True
2,19808,False
1,19683,True
1,10200,True
1,17065,False
0,20575,False
2,1971,False
2,19728,False
1,18855,True
1,5417,True
0,22402,True
1,911,False
1,19280,False
1,0,True
1,18747,True
1,20419,False
1,12688,True
1,5212,False
0,20051,False
1,14645,True
1,11462,False
1,22505,True
2,116,False
1,3652,True
1,1296,False
0,7074,False
0,12902,False
1,15537,True
2,7874,False
1,11550,False
0,2733,False
2,407,False
2,11217,False
2,18310,False
2,4634,False
0,17456,True
1,12086,True
1,18360,True
0,20188,True
1,22175,True
1,9272,True
1,20382,True
2,16432,False
2,8242,False
1,4026,True
0,22868,True
1,10140,True
0,2103,False
1,12508,True
1,798,True
1,17152,False
1,4261,False
1,5763,False
1,23051,False
1,12697,True
1,5371,True
1,14190,False
1,1581,False
1,22477,False
1,15748,True
1,20791,False
0,19901,False
2,6204,False
1,4261,False
2,629,False
2,11420,False
2,2781,False
1,5322,True
1,17476,False
1,21235,True
2,3038,False
2,20713,True
1,16417,False
2,387,False
0,18050,False
1,1527,False
2,15901,False
2,15766,False
1,2987,True
2,4225,False
2,19301,False
1,14159,False
2,5924,False
1,9022,False
1,17373,True
0,8954,False
1,10073,False
0,3145,False
2,9968,False
2,795,False
2,1127,False
2,14858,False
2,18121,False
0,12670,True
1,3920,False
1,15440,False
1,2628,True
2,11123,False
1,194,False
2,21990,False
1,187,False
1,9050,True
2,11690,False
0,19756,False
2,20074,False
1,19571,True
0,14110,False
2,169,False
2,3362,False
2,17875,False
2,5983,False
2,12644,False
1,14944,True
1,12441,True
1,21316,False
0,2988,True
2,18844,False
2,4528,False
0,2189,True
1,18605,True
0,4590,False
2,8482,False
0,10279,False
1,4593,True
0,19763,True
1,20675,True
1,14573,True
1,15424,True
1,5100,True
2,6417,False
2,4170,False
2,8123,False
0,11519,False
2,3531,False
2,1908,False
1,9625,True
2,7581,False
2,6557,False
1,19032,False
0,15302,True
